"temporada","time","acronym","despesas","valor_reforcos","balanco_transferencias"
"2022","Coritiba","CFC","0.48","15.75","-0.48"
"2022","Avai","AVA","0","10.70","0"
"2023","America-MG","AMG","3.47","11.20","-3.27"
"2023","Athletico-PR","CAP","4.20","12.25","6.30"
"2023","Atletico-MG","CAM","4.30","49.55","17.71"
"2023","Bahia","ECB","16.35","51.00","-16.07"
"2023","Botafogo","BOT","5.81","52.30","4.20"
"2023","Corinthians","COR","8.82","46.70","4.33"
"2023","Coritiba","CFC","6.70","31.20","-2.20"
"2023","Cruzeiro","CRU","5.27","36.75","-3.90"
"2023","Cuiaba","CUI","2.62","19.90","6.08"
"2023","Flamengo","FLA","38.80","41.80","-6.00"
"2023","Fluminense","FLU","3.50","18.60","16.49"
"2023","Fortaleza","FOR","4.63","32.20","-2.26"
"2023","Goias","GOI","0.28","15.35","-0.20"
"2023","Gremio","GRE","9.20","31.40","0.19"
"2023","Internacional","INT","6.30","21.05","2.86"
"2023","Palmeiras","PAL","25.28","30.50","10.66"
"2023","RBBragantino","RBB","12.99","29.00","3.51"
"2023","Santos","SAN","13.25","23.50","-4.65"
"2023","SaoPaulo","SAO","13.14","40.85","11.67"
"2023","Vasco","VAS","19.55","61.00","-7.05"
